Feature Id	Gene Symbol	Uni Gene Id	Gene Id	Accession Id	Ref Seq Protein Id	Ref Seq Transcript Id
40569_at	MZF1					
40562_at	GNA11					
40560_at	TBX2					
40524_at	PTPN21					
40489_at	ATN1					
40472_at	LPCAT4					
40465_at	DDX23					
40446_at	PHF1					
40420_at	STK10					
40359_at	RASSF7					
40284_at	FOXA2					
244444_at	PKD1L2					
244443_at	LINC01578					
244442_at	HORMAD2					
244441_at	USP31					
244439_at	SPRED1					
244435_at	FAM196A					
244434_at	GPR82					
244431_at	KLLN					
244430_at	PLD6					
244428_at	DNMT3A					
244427_at	KIF23					
244424_at	LOC439938					
244422_at	LOC101928370					
244419_at	FRZB					
244416_at	TTC17					
244413_at	CLECL1					
244411_at	MINCR					
244410_at	PKHD1					
244409_at	CCDC154					
244407_at	CYP39A1					
244404_at	STXBP4					
244403_at	CRB1					
244401_at	LCA5					
244400_at	VPS33A					
244398_x_at	ZNF684					
244396_at	G3BP1					
244395_at	FLJ41455					
244391_at	TSEN2					
244389_at	TLK1					
244385_at	KDM4C					
244378_at	HECTD4					
244377_at	SLC1A4					
244376_at	METTL7A					
244374_at	TINCR					
244372_at	LOC101060019					
244370_at	KIAA2022					
244369_at	C21orf59					
244368_x_at	SUGT1					
244366_at	LOC100506371					
244364_at	MYO3A					
244363_at	ROS1					
244360_at	FBXL17					
244355_at	AVL9					
244354_at	STRN					
244353_s_at	SLC2A12					
244352_at	CD84					
244351_at	RBM46					
244350_at	MYO10					
244345_at	CADM1					
244344_at	WNK4					
244343_at	LOC100507330					
244342_at	PATL1					
244334_at	TRAM1L1					
244325_at	LINC00690					
244324_at	C18orf54					
244323_at	BHLHE22					
244321_at	PGAP1					
244320_at	NHLRC2					
244317_at	KIAA1324L					
244316_at	C17orf98					
244315_at	PLSCR1					
244313_at	CR1					
244308_at	LOC101927699					
244307_s_at	LOC101927699					
244305_at	GGN					
244304_at	DIS3L2					
244294_at	GTF2H5					
